::1 - - [23/Oct/2023:21:39:16 +0000] "GET /users HTTP/1.1" 500 80 "-" "PostmanRuntime/7.33.0"
127.0.0.1 - - [08/Nov/2023:10:44:22 +0000] "POST /users HTTP/1.1" 201 179 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:45:25 +0000] "GET /movies HTTP/1.1" 401 - "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:45:42 +0000] "GET /movies HTTP/1.1" 201 6517 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:46:00 +0000] "GET /movies/Monkey%20King HTTP/1.1" 200 656 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:48:34 +0000] "GET /genres/Thriller HTTP/1.1" 200 4431 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:49:37 +0000] "GET /director/Judd%20Apatow HTTP/1.1" 404 161 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:49:49 +0000] "GET /directors/Judd%20Apatow HTTP/1.1" 200 639 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:50:53 +0000] "PUT /users/ren001 HTTP/1.1" 422 186 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:51:51 +0000] "PUT /users/ren001 HTTP/1.1" 422 186 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:52:07 +0000] "PUT /users/ren001 HTTP/1.1" 200 182 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:53:30 +0000] "GET /movies HTTP/1.1" 201 6517 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:54:03 +0000] "POST /users/ren001/movies/652c581bd40b1309176b0d16 HTTP/1.1" 200 182 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:55:30 +0000] "POST /users/ren001/movies/652c581bd40b1309176b0d16 HTTP/1.1" 200 182 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:10:56:41 +0000] "POST /users/ren001/movies/652c581bd40b1309176b0d16 HTTP/1.1" 200 228 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:11:00:37 +0000] "POST /users/ren001/movies/652c581bd40b1309176b0d16 HTTP/1.1" 200 235 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [08/Nov/2023:11:01:12 +0000] "DELETE /users/ren001/movies/652c581bd40b1309176b0d16 HTTP/1.1" 200 182 "-" "PostmanRuntime/7.34.0"
127.0.0.1 - - [03/Dec/2023:10:58:19 +0000] "GET / HTTP/1.1" 200 18 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
127.0.0.1 - - [03/Dec/2023:10:58:19 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8080/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36"
